plate	well	parental	pausecodon	pauselocation	replicate	strain_id	strain_label	comment
1	B4	yfp0	NA	NA	1	ecMF82.1	yfp0	
1	B5	yfp0	CTA	8	1	ecMF80.1	yfp0_CTA8	
1	B6	yfp0	CTA	9	1	ecMF67.1	yfp0_CTA9	
1	B7	yfp0	CTA	10	1	ecMF68.1	yfp0_CTA10	
1	B8	yfp0	CTA	11	1	ecMF69.1	yfp0_CTA11	
1	B9	yfp0	CTA	12	1	ecMF70.1	yfp0_CTA12	
1	E5	yfp0	CTA	13	1	ecMF71.1	yfp0_CTA13	
1	E6	yfp0	CTA	14	1	ecMF72.1	yfp0_CTA14	
1	E7	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
2	B3	yfp0	CTA	8,9	1	ecMF249.1	yfp0_CTA8,9	
2	B4	yfp0	CTA	8,10	1	ecMF250.1	yfp0_CTA8,10	
2	B5	yfp0	CTA	8,11	1	ecMF251.1	yfp0_CTA8,11	
2	B6	yfp0	CTA	8,12	1	ecMF252.1	yfp0_CTA8,12	
2	B7	yfp0	CTA	8,13	1	ecMF253.1	yfp0_CTA8,13	
2	B8	yfp0	CTA	8,14	1	ecMF254.1	yfp0_CTA8,14	
2	B9	yfp0	CTA	9,10	1	ecMF255.1	yfp0_CTA9,10	
2	E3	yfp0	CTA	9,11	1	ecMF256.1	yfp0_CTA9,11	
2	E4	yfp0	CTA	9,12	1	ecMF257.1	yfp0_CTA9,12	
2	E5	yfp0	CTA	9,13	1	ecMF258.1	yfp0_CTA9,13	
2	E6	yfp0	CTA	9,14	1	ecMF259.1	yfp0_CTA9,14	
2	E7	yfp0	CTA	11,12	1	ecMF260.1	yfp0_CTA11,12	
2	E8	yfp0	CTA	13,14	1	ecMF261.1	yfp0_CTA13,14	
2	E9	NA	NA	NA	NA	NA	NA	blank
1	C4	yfp0	NA	NA	2	ecMF82.2	yfp0	
1	C5	yfp0	CTA	8	2	ecMF80.2	yfp0_CTA8	
1	C6	yfp0	CTA	9	2	ecMF67.2	yfp0_CTA9	
1	C7	yfp0	CTA	10	2	ecMF68.2	yfp0_CTA10	
1	C8	yfp0	CTA	11	2	ecMF69.2	yfp0_CTA11	
1	C9	yfp0	CTA	12	2	ecMF70.2	yfp0_CTA12	
1	F5	yfp0	CTA	13	2	ecMF71.2	yfp0_CTA13	
1	F6	yfp0	CTA	14	2	ecMF72.2	yfp0_CTA14	
1	F7	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.2	yfp0_CTA4,5,6,7,8,9,10	
2	C3	yfp0	CTA	8,9	2	ecMF249.2	yfp0_CTA8,9	
2	C4	yfp0	CTA	8,10	2	ecMF250.2	yfp0_CTA8,10	
2	C5	yfp0	CTA	8,11	2	ecMF251.2	yfp0_CTA8,11	
2	C6	yfp0	CTA	8,12	2	ecMF252.2	yfp0_CTA8,12	
2	C7	yfp0	CTA	8,13	2	ecMF253.2	yfp0_CTA8,13	
2	C8	yfp0	CTA	8,14	2	ecMF254.2	yfp0_CTA8,14	
2	C9	yfp0	CTA	9,10	2	ecMF255.2	yfp0_CTA9,10	
2	F3	yfp0	CTA	9,11	2	ecMF256.2	yfp0_CTA9,11	
2	F4	yfp0	CTA	9,12	2	ecMF257.2	yfp0_CTA9,12	
2	F5	yfp0	CTA	9,13	2	ecMF258.2	yfp0_CTA9,13	
2	F6	yfp0	CTA	9,14	2	ecMF259.2	yfp0_CTA9,14	
2	F7	yfp0	CTA	11,12	2	ecMF260.2	yfp0_CTA11,12	
2	F8	yfp0	CTA	13,14	2	ecMF261.2	yfp0_CTA13,14	
2	F9	NA	NA	NA	NA	NA	NA	blank
1	D4	yfp0	NA	NA	3	ecMF82.3	yfp0	
1	D5	yfp0	CTA	8	3	ecMF80.3	yfp0_CTA8	
1	D6	yfp0	CTA	9	3	ecMF67.3	yfp0_CTA9	
1	D7	yfp0	CTA	10	3	ecMF68.3	yfp0_CTA10	
1	D8	yfp0	CTA	11	3	ecMF69.3	yfp0_CTA11	
1	D9	yfp0	CTA	12	3	ecMF70.3	yfp0_CTA12	
1	G5	yfp0	CTA	13	3	ecMF71.3	yfp0_CTA13	
1	G6	yfp0	CTA	14	3	ecMF72.3	yfp0_CTA14	
1	G7	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.3	yfp0_CTA4,5,6,7,8,9,10	
2	D3	yfp0	CTA	8,9	3	ecMF249.3	yfp0_CTA8,9	
2	D4	yfp0	CTA	8,10	3	ecMF250.3	yfp0_CTA8,10	
2	D5	yfp0	CTA	8,11	3	ecMF251.3	yfp0_CTA8,11	
2	D6	yfp0	CTA	8,12	3	ecMF252.3	yfp0_CTA8,12	
2	D7	yfp0	CTA	8,13	3	ecMF253.3	yfp0_CTA8,13	
2	D8	yfp0	CTA	8,14	3	ecMF254.3	yfp0_CTA8,14	
2	D9	yfp0	CTA	9,10	3	ecMF255.3	yfp0_CTA9,10	
2	G3	yfp0	CTA	9,11	3	ecMF256.3	yfp0_CTA9,11	
2	G4	yfp0	CTA	9,12	3	ecMF257.3	yfp0_CTA9,12	
2	G5	yfp0	CTA	9,13	3	ecMF258.3	yfp0_CTA9,13	
2	G6	yfp0	CTA	9,14	3	ecMF259.3	yfp0_CTA9,14	
2	G7	yfp0	CTA	11,12	3	ecMF260.3	yfp0_CTA11,12	
2	G8	yfp0	CTA	13,14	3	ecMF261.3	yfp0_CTA13,14	
2	G9	NA	NA	NA	NA	NA	NA	blank
