index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	ctt10_ctt14	3387	10000	1.0	34483.96	0	0.3387
1	1.0	0	0.3	ctt2_ctt18	3498	10000	0.0	35141.2	0	0.3498
2	1.0	0	0.3	ctc2	4022	10000	0.0	34465.4	0	0.4022
3	1.0	0	0.3	ctc10_ctc14	6580	10000	0.0	34582.65	0	0.658
4	0.0	0	0.3	ctt14_ctt6	4095	10000	1.0	34928.68	0	0.4095
5	0.0	0	0.3	ctt18	7148	10000	0.0	34614.33	0	0.7148
6	0.0	0	0.3	ctt14	7736	10000	1.0	34590.63	0	0.7736
7	1.0	0	0.3	ctt10_ctt6	3434	10000	0.0	35510.8	0	0.3434
8	1.0	0	0.3	ctc10_ctc18	6584	10000	0.0	35067.37	0	0.6584
9	1.0	0	0.3	ctc2_ctc18	3809	10000	0.0	34678.78	0	0.3809
10	1.0	0	0.3	ctt2_ctt6	2962	10000	0.0	34602.4	0	0.2962
11	0.0	0	0.3	ctt10	4404	10000	1.0	34917.53	0	0.4404
12	0.0	0	0.3	ctt2_ctt18	3801	10000	0.0	34650.87	0	0.3801
13	0.0	0	0.3	ctc10_ctc14	7141	10000	0.0	34431.38	0	0.7141
14	0.0	0	0.3	ctc14	8150	10000	1.0	34684.81	0	0.815
15	0.0	0	0.3	ctt14_ctt6	5139	10000	0.0	34783.8	0	0.5139
16	0.0	0	0.3	ctc2_ctc6	2618	10000	1.0	34505.39	0	0.2618
17	1.0	0	0.3	ctc2_ctc10	3719	10000	0.0	34819.27	0	0.3719
18	0.0	0	0.3	ctt2_ctt6	2010	10000	1.0	34949.79	0	0.201
19	0.0	0	0.3	ctt10_ctt6	3682	10000	0.0	34413.05	0	0.3682
20	0.0	0	0.3	ctc10	7749	10000	0.0	35304.86	0	0.7749
21	0.0	0	0.3	ctt2_ctt10	3480	10000	0.0	34609.56	0	0.348
22	1.0	0	0.3	ctt10_ctt18	3996	10000	0.0	35056.06	0	0.3996
23	0.0	0	0.3	ctc18_ctc6	6135	10000	0.0	34921.44	0	0.6135
24	1.0	0	0.3	ctt18_ctt14	6420	10000	0.0	34904.33	0	0.642
25	1.0	0	0.3	ctc6	6185	10000	0.0	35166.0	0	0.6185
26	0.0	0	0.3	ctc2	4076	10000	1.0	34725.61	0	0.4076
27	0.0	0	0.3	ctt10_ctt6	2243	10000	1.0	35016.5	0	0.2243
28	0.0	0	0.3	ctt2	3710	10000	0.0	34831.99	0	0.371
29	1.0	0	0.3	ctt6	5108	10000	0.0	34420.5	0	0.5108
30	0.0	0	0.3	ctc10	7628	10000	1.0	35082.18	0	0.7628
31	1.0	0	0.3	ctc2_ctc6	3563	10000	0.0	34894.31	0	0.3563
32	0.0	0	0.3	ctc2_ctc18	3979	10000	0.0	34892.7	0	0.3979
33	0.0	0	0.3	ctc14_ctc6	5954	10000	0.0	34519.66	0	0.5954
34	0.0	0	0.3	ctc10_ctc14	6159	10000	1.0	34738.88	0	0.6159
