index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	tcg6	7699	10000	1.0	34762.51	0	0.7699
1	0.0	0	0.3	tcg2_tcg6	5140	10000	1.0	34486.83	0	0.514
2	0.0	0	0.3	tcg2	6999	10000	1.0	34983.44	0	0.6999
3	0.0	0	0.3	tcg4_tcg7	6688	10000	1.0	35133.92	0	0.6688
4	0.0	0	0.3	tcg4_tcg5	6653	10000	1.0	34740.99	0	0.6653
5	0.0	0	0.3	tcg3	6778	10000	0.0	34959.21	0	0.6778
6	0.0	0	0.3	tcg4_tcg6	6095	10000	1.0	34965.19	0	0.6095
7	0.0	0	0.3	tcg3_tcg5	5452	10000	1.0	34482.54	0	0.5452
8	0.0	0	0.3	tcg6	7473	10000	0.0	34544.79	0	0.7473
9	0.0	0	0.3	tcg7	8251	10000	1.0	34727.68	0	0.8251
10	1.0	0	0.3	tcg3_tcg6	5818	10000	0.0	34437.03	0	0.5818
11	1.0	0	0.3	tcg6	7274	10000	0.0	34727.31	0	0.7274
12	0.0	0	0.3	tcg7	8590	10000	0.0	34596.32	0	0.859
13	0.0	0	0.3	tcg3	6837	10000	1.0	34708.62	0	0.6837
14	1.0	0	0.3	tcg2_tcg6	5684	10000	0.0	34657.39	0	0.5684
15	1.0	0	0.3	tcg4_tcg6	6551	10000	0.0	34956.27	0	0.6551
16	0.0	0	0.3	tcg4_tcg5	7176	10000	0.0	34719.94	0	0.7176
17	0.0	0	0.3	tcg3_tcg7	6845	10000	0.0	34859.4	0	0.6845
18	1.0	0	0.3	tcg3_tcg5	6206	10000	0.0	35080.18	0	0.6206
19	0.0	0	0.3	tcg3_tcg7	5714	10000	1.0	34483.53	0	0.5714
20	0.0	0	0.3	tcg4	8084	10000	0.0	34746.11	0	0.8084
21	1.0	0	0.3	tcg5	8071	10000	0.0	35048.6	0	0.8071
22	0.0	0	0.3	tcg2	6643	10000	0.0	34740.52	0	0.6643
23	1.0	0	0.3	tcg7	8514	10000	0.0	34803.78	0	0.8514
24	0.0	0	0.3	tcg5	8114	10000	1.0	34846.88	0	0.8114
25	0.0	0	0.3	tcg3_tcg6	6698	10000	0.0	34808.19	0	0.6698
26	1.0	0	0.3	tcg3_tcg7	6195	10000	0.0	34120.62	0	0.6195
27	1.0	0	0.3	tcg4_tcg7	7090	10000	0.0	34846.83	0	0.709
28	0.0	0	0.3	tcg5	7864	10000	0.0	34653.33	0	0.7864
29	0.0	0	0.3	tcg4_tcg7	7660	10000	0.0	34605.21	0	0.766
30	1.0	0	0.3	tcg2_tcg5	6124	10000	0.0	34843.6	0	0.6124
31	0.0	0	0.3	tcg4_tcg6	7086	10000	0.0	34422.92	0	0.7086
32	1.0	0	0.3	tcg2_tcg7	6222	10000	0.0	35250.37	0	0.6222
33	0.0	0	0.3	tcg4	7869	10000	1.0	34735.04	0	0.7869
34	1.0	0	0.3	tcg3	6841	10000	0.0	34923.06	0	0.6841
35	0.0	0	0.3	tcg3_tcg6	5077	10000	1.0	34416.92	0	0.5077
36	0.0	0	0.3	tcg2_tcg5	5657	10000	1.0	34990.81	0	0.5657
37	1.0	0	0.3	tcg4_tcg5	6927	10000	0.0	34872.0	0	0.6927
38	1.0	0	0.3	tcg4	8140	10000	0.0	35297.5	0	0.814
39	0.0	0	0.3	tcg2_tcg6	6769	10000	0.0	35051.07	0	0.6769
40	1.0	0	0.3	tcg2	6705	10000	0.0	34470.51	0	0.6705
41	0.0	0	0.3	tcg2_tcg5	6825	10000	0.0	35079.7	0	0.6825
42	0.0	0	0.3	tcg3_tcg5	6603	10000	0.0	34428.32	0	0.6603
43	0.0	0	0.3	tcg2_tcg7	6716	10000	0.0	34736.46	0	0.6716
44	0.0	0	0.3	tcg2_tcg7	5681	10000	1.0	34791.6	0	0.5681
